gene_id,gene_name,count
YDR311W,TFB1,1587
YDR312W,SSF2,1620
YDR313C,PIB1,826
YDR314C,RAD34,817
YDR315C,IPK1,261
YDR316W,OMS1,361
tF(GAA)D,tF(GAA)D,2
YDR316W-B,YDR316W-B,15
YDR316W-A,YDR316W-A,0
YDR317W,HIM1,292
YDR318W,MCM21,464
YDR319C,YDR319C,825
YDR320C,SWA2,3121
YDR320C-A,DAD4,1534
YDR320W-B,YDR320W-B,17
YDR321W,ASP1,10394
YDR322W,MRPL35,2666
YDR322C-A,TIM11,1228
YDR323C,PEP7,364
YDR324C,UTP4,5705
YDR325W,YCG1,1683
YDR326C,YSP2,6540
YDR327W,YDR327W,1006
YDR328C,SKP1,3129
YDR329C,PEX3,1905
YDR330W,UBX5,1585
YDR331W,GPI8,2451
YDR332W,IRC3,636
YDR333C,YDR333C,2680
YDR334W,SWR1,1916
YDR335W,MSN5,6177
YDR336W,YDR336W,326
YDR337W,MRPS28,950
YDR338C,YDR338C,1311
YDR339C,FCF1,2976
tX(XXX)D,tX(XXX)D,1
YDR340W,YDR340W,13
YDR341C,YDR341C,21904
YDR342C,HXT7,2299
YDR343C,HXT6,52
YDR344C,YDR344C,106
YDR345C,HXT3,32513
YDR346C,SVF1,8349
YDR347W,MRP1,3423
YDR348C,YDR348C,3494
YDR349C,YPS7,6757
tM(CAU)D,tM(CAU)D,0
YDR350C,ATP22,1336
YDR351W,SBE2,2161
YDR352W,YDR352W,1651
YDR353W,TRR1,10808
YDR354W,TRP4,3829
YDR354C-A,YDR354C-A,0
YDR355C,YDR355C,1
YDR356W,SPC110,769
YDR357C,CNL1,543
YDR358W,GGA1,827
YDR359C,EAF1,3449
YDR360W,OPI7,20
YDR361C,BCP1,3223
YDR362C,TFC6,940
YDR363W,ESC2,450
tK(CUU)D1,tK(CUU)D1,1
YDR363W-A,SEM1,830
YDR364C,CDC40,981
YDR365C,ESF1,1763
YDR365W-A,YDR365W-A,0
YDR365W-B,YDR365W-B,137
YDR366C,YDR366C,4
YDR367W,KEI1,2148
YDR368W,YPR1,2927
YDR369C,XRS2,535
YDR370C,YDR370C,902
YDR371W,CTS2,710
YDR371C-A,YDR371C-A,0
YDR372C,VPS74,2712
YDR373W,FRQ1,1142
YDR374C,YDR374C,24
YDR374W-A,YDR374W-A,186
YDR375C,BCS1,1546
YDR376W,ARH1,1327
YDR377W,ATP17,3437
YDR378C,LSM6,919
YDR379W,RGA2,1384
YDR379C-A,YDR379C-A,176
YDR380W,ARO10,4194
YDR381W,YRA1,7959
YDR381C-A,YDR381C-A,244
YDR382W,RPP2B,27054
YDR383C,NKP1,162
YDR384C,ATO3,1218
YDR385W,EFT2,45888
YDR386W,MUS81,328
YDR387C,YDR387C,1183
YDR388W,RVS167,5768
YDR389W,SAC7,4822
YDR390C,UBA2,2328
tG(CCC)D,tG(CCC)D,0
YDR391C,YDR391C,464
YDR392W,SPT3,483
YDR393W,SHE9,889
YDR394W,RPT3,8682
YDR395W,SXM1,14098
YDR396W,YDR396W,19
YDR397C,NCB2,6
YDR398W,UTP5,5036
YDR399W,HPT1,5888
YDR400W,URH1,2909
YDR401W,YDR401W,15
YDR402C,DIT2,74
YDR403W,DIT1,184
YDR404C,RPB7,2585
YDR405W,MRP20,1965
YDR406W,PDR15,1268
YDR406W-A,YDR406W-A,5
YDR407C,TRS120,3627
YDR408C,ADE8,1619
YDR409W,SIZ1,2176
YDR410C,STE14,1293
YDR411C,DFM1,2879
YDR412W,RRP17,54
YDR413C,YDR413C,5
YDR414C,ERD1,1589
YDR415C,YDR415C,1827
YDR416W,SYF1,1073
YDR417C,YDR417C,63
YDR418W,RPL12B,16500
YDR419W,RAD30,751
tS(AGA)D3,tS(AGA)D3,3
YDR420W,HKR1,8896
YDR421W,ARO80,1053
YDR422C,SIP1,3448
YDR423C,CAD1,2047
YDR424C,DYN2,512
YDR425W,SNX41,1222
YDR426C,YDR426C,2
YDR427W,RPN9,7071
YDR428C,BNA7,1488
YDR429C,TIF35,9966
YDR430C,CYM1,4014
YDR431W,YDR431W,0
YDR432W,NPL3,21677
YDR433W,YDR433W,2
YDR434W,GPI17,3242
YDR435C,PPM1,753
YDR436W,PPZ2,2003
YDR437W,GPI19,276
YDR438W,THI74,488
YDR439W,LRS4,924
YDR440W,DOT1,1192
YDR441C,APT2,4489
YDR442W,YDR442W,2
YDR443C,SSN2,2482
YDR444W,YDR444W,524
YDR445C,YDR445C,0
tK(CUU)D2,tK(CUU)D2,0
YDR446W,ECM11,38
YDR447C,RPS17B,16282
YDR448W,ADA2,1091
YDR449C,UTP6,1148
YDR450W,RPS18A,39747
YDR451C,YHP1,2235
YDR452W,PPN1,4271
YDR453C,TSA2,255
YDR454C,GUK1,8140
YDR455C,YDR455C,11
YDR456W,NHX1,4660
YDR457W,TOM1,15186
YDR458C,HEH2,1091
YDR459C,PFA5,790
YDR460W,TFB3,593
YDR461W,MFA1,3054
YDR461C-A,YDR461C-A,204
YDR462W,MRPL28,1027
YDR463W,STP1,3601
YDR464W,SPP41,2215
YDR464C-A,YDR464C-A,0
YDR465C,RMT2,3608
YDR466W,PKH3,2154
YDR467C,YDR467C,149
YDR468C,TLG1,744
YDR469W,SDC1,1023
YDR470C,UGO1,1532
YDR471W,RPL27B,37617
snR13,snR13,1267
YDR472W,TRS31,1570
YDR473C,PRP3,208
YDR475C,JIP4,1636
YDR476C,YDR476C,3184
YDR477W,SNF1,3890
YDR478W,SNM1,213
YDR479C,PEX29,1336
YDR480W,DIG2,981
YDR481C,PHO8,7442
YDR482C,CWC21,136
YDR483W,KRE2,8960
YDR484W,VPS52,1190
YDR485C,VPS72,1305
YDR486C,VPS60,1846
YDR487C,RIB3,11354
YDR488C,PAC11,794
YDR489W,SLD5,1035
YDR490C,PKH1,1841
YDR491C,YDR491C,61
YDR492W,IZH1,3125
YDR493W,MZM1,761
YDR494W,RSM28,1367
YDR495C,VPS3,759
YDR496C,PUF6,6716
YDR497C,ITR1,15953
YDR498C,SEC20,2239
YDR499W,LCD1,668
YDR500C,RPL37B,36802
YDR501W,PLM2,791
YDR502C,SAM2,14270
YDR503C,LPP1,680
YDR504C,SPG3,368
YDR505C,PSP1,4137
YDR506C,YDR506C,304
tL(CAA)D,tL(CAA)D,24
YDR507C,GIN4,5360
YDR508C,GNP1,12557
YDR509W,YDR509W,0
YDR510W,SMT3,6288
YDR510C-A,YDR510C-A,629
YDR511W,ACN9,1272
YDR512C,EMI1,676
YDR513W,GRX2,2912
YDR514C,YDR514C,724
YDR515W,SLF1,463
YDR516C,EMI2,2456
YDR517W,GRH1,3536
YDR518W,EUG1,3380
YDR519W,FPR2,781
YDR520C,URC2,908
YDR521W,YDR521W,0
YDR522C,SPS2,115
YDR523C,SPS1,65
YDR524C,AGE1,2845
YDR524W-C,YDR524W-C,16874
YDR524C-B,YDR524C-B,39397
YDR524C-A,YDR524C-A,1
YDR525W,API2,4
YDR525W-A,SNA2,619
YDR526C,YDR526C,4
YDR527W,RBA50,1146
snR84,snR84,13627
YDR528W,HLR1,2168
YDR529C,QCR7,7222
YDR530C,APA2,752
YDR531W,CAB1,2592
YDR532C,KRE28,288
YDR533C,HSP31,1349
YDR534C,FIT1,220
YDR535C,YDR535C,36
YDR536W,STL1,327
YDR537C,YDR537C,6
YDR538W,PAD1,505
YDR539W,FDC1,2797
YDR540C,IRC4,119
YDR541C,YDR541C,644
YDR542W,PAU10,1
YDR543C,YDR543C,0
YDR544C,YDR544C,0
YDR545W,YRF1-1,1
YDR545C-A,YDR545C-A,0
YOL166W-A,YOL166W-A,0
YOL166C,YOL166C,1
YOL165C,AAD15,8
YOL164W-A,YOL164W-A,35
YOL164W,BDS1,906
YOL163W,YOL163W,19
YOL162W,YOL162W,66
YOL161C,PAU20,2
YOL160W,YOL160W,40
YOL159C-A,YOL159C-A,117
YOL159C,YOL159C,300
YOL158C,ENB1,1536
YOL157C,IMA2,89
YOL156W,HXT11,106
YOL155W-A,YOL155W-A,53
YOL155C,HPF1,8049
YOL154W,ZPS1,250
YOL152W,FRE7,5319
YOL151W,GRE2,2968
YOL150C,YOL150C,0
YOL149W,DCP1,1094
YOL148C,SPT20,1972
YOL147C,PEX11,2664
YOL146W,PSF3,563
YOL145C,CTR9,5024
YOL144W,NOP8,896
YOL143C,RIB4,3543
YOL142W,RRP40,1821
YOL141W,PPM2,1233
YOL140W,ARG8,2362
YOL139C,CDC33,18328
YOL138C,RTC1,2107
YOL137W,BSC6,1154
YOL136C,PFK27,4424
YOL135C,MED7,1210
YOL134C,YOL134C,2
YOL133W,HRT1,732
YOL132W,GAS4,70
YOL131W,YOL131W,9
YOL130W,ALR1,6772
YOL129W,VPS68,1250
YOL128C,YGK3,1011
YOL127W,RPL25,90306
YOL126C,MDH2,571
YOL125W,TRM13,1107
YOL124C,TRM11,1248
YOL123W,HRP1,11133
YOL122C,SMF1,2555
YOL121C,RPS19A,30236
YOL120C,RPL18A,75083
YOL119C,MCH4,2237
YOL118C,YOL118C,179
YOL117W,RRI2,345
YOL116W,MSN1,1380
YOL115W,PAP2,2205
YOL114C,YOL114C,89
YOL113W,SKM1,1216
YOL112W,MSB4,571
YOL111C,MDY2,3059
YOL110W,SHR5,367
YOL109W,ZEO1,12786
tG(UCC)O,tG(UCC)O,2
YOL108C,INO4,128
YOL107W,YOL107W,812
YOL106W,YOL106W,104
tT(AGU)O1,tT(AGU)O1,0
YOL105C,WSC3,2302
YOL104C,NDJ1,496
YOL103W-B,YOL103W-B,679
YOL103W-A,YOL103W-A,0
YOL103W,ITR2,3277
YOL102C,TPT1,736
YOL101C,IZH4,382
YOL100W,PKH2,943
YOL099C,YOL099C,135
YOL098C,YOL098C,11034
snR58,snR58,40
YOL097W-A,YOL097W-A,28
YOL097C,WRS1,13790
YOL096C,COQ3,324
YOL095C,HMI1,930
YOL094C,RFC4,2153
YOL093W,TRM10,1517
YOL092W,YOL092W,8253
YOL091W,SPO21,93
YOL090W,MSH2,4175
YOL089C,HAL9,1553
YOL088C,MPD2,1871
YOL087C,YOL087C,2053
YOL086W-A,YOL086W-A,385
YOL086C,ADH1,240993
YOL085W-A,YOL085W-A,17
YOL085C,YOL085C,46
YOL084W,PHM7,211
YOL083W,ATG34,232
